"","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","F_MSY_om","F_SPR_om","last_yr_early_om","first_yr_full_om","last_yr_full_om","first_yr_recent_om","max_bias_adj_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","Q_base_1_Fishery_om","Q_base_2_Survey_om","Q_base_3_CPUE_om","SizeSel_1P_1_Fishery_om","SizeSel_1P_2_Fishery_om","SizeSel_1P_3_Fishery_om","SizeSel_1P_4_Fishery_om","SizeSel_1P_5_Fishery_om","SizeSel_1P_6_Fishery_om","SizeSel_2P_1_Survey_om","SizeSel_2P_2_Survey_om","SizeSel_2P_3_Survey_om","SizeSel_2P_4_Survey_om","SizeSel_2P_5_Survey_om","SizeSel_2P_6_Survey_om","AgeSel_1P_1_Fishery_om","AgeSel_1P_2_Fishery_om","AgeSel_2P_1_Survey_om","AgeSel_2P_2_Survey_om","AgeSel_3P_1_CPUE_om","AgeSel_3P_2_CPUE_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","F_MSY_em","F_SPR_em","last_yr_early_em","first_yr_full_em","last_yr_full_em","first_yr_recent_em","max_bias_adj_em","params_on_bound_em","params_stuck_low_em","params_stuck_high_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","ForeRecr_81_em","ForeRecr_82_em","ForeRecr_83_em","ForeRecr_84_em","ForeRecr_85_em","ForeRecr_86_em","ForeRecr_87_em","ForeRecr_88_em","ForeRecr_89_em","ForeRecr_90_em","ForeRecr_91_em","ForeRecr_92_em","ForeRecr_93_em","ForeRecr_94_em","ForeRecr_95_em","ForeRecr_96_em","ForeRecr_97_em","ForeRecr_98_em","ForeRecr_99_em","ForeRecr_100_em","Impl_err_81_em","Impl_err_82_em","Impl_err_83_em","Impl_err_84_em","Impl_err_85_em","Impl_err_86_em","Impl_err_87_em","Impl_err_88_em","Impl_err_89_em","Impl_err_90_em","Impl_err_91_em","Impl_err_92_em","Impl_err_93_em","Impl_err_94_em","Impl_err_95_em","Impl_err_96_em","Impl_err_97_em","Impl_err_98_em","Impl_err_99_em","Impl_err_100_em","InitF_1Fishery_em","Q_base_1_Fishery_em","Q_base_2_Survey_em","Q_base_3_CPUE_em","SizeSel_1P_1_Fishery_em","SizeSel_1P_2_Fishery_em","SizeSel_1P_3_Fishery_em","SizeSel_1P_4_Fishery_em","SizeSel_1P_5_Fishery_em","SizeSel_1P_6_Fishery_em","SizeSel_2P_1_Survey_em","SizeSel_2P_2_Survey_em","SizeSel_2P_3_Survey_em","SizeSel_2P_4_Survey_em","SizeSel_2P_5_Survey_em","SizeSel_2P_6_Survey_em","AgeSel_1P_1_Fishery_em","AgeSel_1P_2_Fishery_em","AgeSel_2P_1_Survey_em","AgeSel_2P_2_Survey_em","AgeSel_3P_1_CPUE_em","AgeSel_3P_2_CPUE_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias.converged","bias.tried","scenario","replicate","A","D","E","F","L","species","max_grad","version","RunTime","hessian","Niterations","ID"
"1",1418010000,164172000,4084180000,0.989057779040101,0.113955,0.127929,1,1,100,100,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,0,4438.46,5.62863e-07,0,-32.1888,NA,NA,560.797,3868.95,NA,NA,NA,NA,NA,40.6476,0,0,0,0,0,1.484e+09,172539000,4267930000,0.327109394952588,0.114546,0.128768,7.39015,34.121,77.8427,79.416,0.911,0,NA,NA,0.2,18.3864,130.521,0.212567,0.107702,0.0987517,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7334,0.65,0.4,0,0,-0.125049,0.00266842,-0.000334302,4.16498e-05,-5.51592e-06,7.54395e-07,-1.05765e-06,-1.36668e-06,5.79529e-07,1.31201e-06,-9.95053e-07,2.00758e-07,3.50339e-08,-2.3588e-08,3.87109e-09,9.74349e-11,-1.4502e-10,2.58558e-11,-1.71596e-12,-1.72307e-13,3.90799e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0035602,0,47.2499,-3,4.81892,15,-999,999,36.049,-4,3.91676,14,-99,99,0.1,100,0.1,100,0.1,100,0,996.326,1.57567e-14,0,-39.8628,NA,NA,730.045,332.228,NA,NA,NA,NA,NA,-26.0855,2.06519e-11,0,0.00121486,0,0,2,2,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",0.0024998,"#V3.24f",2.58333333333333,TRUE,958,"A100-D0-E20-F1-L100-cay-1"
"2",1418010000,164172000,4084180000,0.892198678804558,0.113955,0.127929,1,1,100,100,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,0,4467.15,5.34695e-07,0,-32.1888,NA,NA,557.774,3869.62,NA,NA,NA,NA,NA,71.6954,0,0,0,0,0,1435720000,164891000,4125140000,0.272776196686658,0.11309,0.127231,7.39015,34.121,77.8427,79.416,0.911,0,NA,NA,0.2,19.1298,131.36,0.205773,0.0983686,0.0970801,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7067,0.65,0.4,0,0,-0.146316,-0.00367975,0.00053852,-7.88603e-05,1.13194e-05,-1.53255e-06,1.41655e-07,-1.09723e-07,2.36899e-07,-3.39446e-07,4.65553e-07,1.55792e-08,-2.11791e-07,4.84421e-07,9.22275e-08,-8.85934e-07,-1.24416e-08,1.00846e-06,-7.15662e-07,8.44335e-08,1.1348e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0745483,0,44.4873,-3,4.37878,15,-999,999,37.4761,-4,4.23303,14,-99,99,0.1,100,0.1,100,0.1,100,0,1000.38,4.29709e-14,0,-35.4051,NA,NA,724.296,326.964,NA,NA,NA,NA,NA,-15.4731,9.06902e-12,0,0.0012312,0,0,2,2,"A100-D0-E20-F1-L100-cay",2,"A100","D0","E20","F1","L100","cay",0.000544511,"#V3.24f",2.65,TRUE,1019,"A100-D0-E20-F1-L100-cay-2"
"3",1418010000,164172000,4084180000,0.989057779040101,0.113955,0.127929,1,1,100,100,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,0,4438.46,5.62863e-07,0,-32.1888,NA,NA,560.797,3868.95,NA,NA,NA,NA,NA,40.6476,0,0,0,0,0,1482820000,172399000,4264530000,0.330172375384861,0.114545,0.128766,7.39015,34.121,77.8427,79.416,0.911,0,NA,NA,0.2,18.3869,130.53,0.212532,0.107744,0.0986608,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7326,0.65,0.4,0,0,-0.25,0.0112231,-0.00280577,0.000701561,-0.000175255,4.36e-05,-1.05575e-05,2.53021e-06,-5.18234e-07,8.5054e-07,1.97726e-07,1.23394e-06,1.72635e-07,-9.92908e-07,1.41678e-06,-1.85914e-06,1.1804e-07,1.47776e-06,-1.65651e-06,1.6748e-06,3.89203e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00638743,0,47.2578,-3,4.8193,15,-999,999,36.042,-4,3.91551,14,-99,99,0.1,100,0.1,100,0.1,100,0,996.95,1.54786e-14,0,-39.8797,NA,NA,730.179,332.451,NA,NA,NA,NA,NA,-25.8017,4.53667e-11,0,0.0012151,0,0,2,2,"A100-D0-E20-F1-L100-cayt",1,"A100","D0","E20","F1","L100","cayt",0.000120427,"#V3.24f",2.51666666666667,TRUE,958,"A100-D0-E20-F1-L100-cayt-1"
"4",1418010000,164172000,4084180000,0.892198678804558,0.113955,0.127929,1,1,100,100,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,0,4467.15,5.34695e-07,0,-32.1888,NA,NA,557.774,3869.62,NA,NA,NA,NA,NA,71.6954,0,0,0,0,0,1431950000,164396000,4114140000,0.273819072758827,0.113049,0.12719,7.39015,34.121,77.8427,79.416,0.911,0,NA,NA,0.2,19.1271,131.44,0.20559,0.0984483,0.0968487,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7031,0.65,0.4,0,0,-0.25,-0.00973033,0.00243223,-0.000608236,0.000151992,-3.82939e-05,9.52932e-06,-2.04522e-06,6.58834e-07,-1.38616e-07,2.11112e-07,-2.04075e-07,-3.43391e-07,7.08162e-09,1.41173e-08,3.9402e-08,5.20855e-07,7.61581e-07,4.04736e-07,2.57916e-07,3.39276e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747315,0,44.4874,-3,4.37844,15,-999,999,37.4747,-4,4.23065,14,-99,99,0.1,100,0.1,100,0.1,100,0,1001.01,4.45405e-14,0,-35.3181,NA,NA,724.457,327.013,NA,NA,NA,NA,NA,-15.1425,7.78405e-12,0,0.00123172,0,0,2,2,"A100-D0-E20-F1-L100-cayt",2,"A100","D0","E20","F1","L100","cayt",5.44845e-05,"#V3.24f",2.51666666666667,TRUE,955,"A100-D0-E20-F1-L100-cayt-2"
"5",1418010000,164172000,4084180000,0.989057779040101,0.113955,0.127929,1,1,100,100,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,0,4438.46,5.62863e-07,0,-32.1888,NA,NA,560.797,3868.95,NA,NA,NA,NA,NA,40.6476,0,0,0,0,0,1482830000,172402000,4264590000,0.330069244640165,0.114545,0.128766,7.39015,34.121,77.8427,79.416,0.911,0,NA,NA,0.2,18.3868,130.53,0.212533,0.107743,0.0986636,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7326,0.65,0.4,0,0,-0.24615,0.0108772,-0.00267753,0.000659166,-0.00016209,3.97424e-05,-9.84223e-06,2.3684e-06,-5.69345e-07,5.42597e-07,-1.10382e-07,7.50008e-07,-1.83918e-08,-4.70976e-07,1.41381e-06,-1.04349e-06,1.62499e-07,4.19781e-07,-1.58834e-06,2.52427e-07,3.45544e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00628545,0,47.2575,-3,4.81928,15,-999,999,36.0422,-4,3.91553,14,-99,99,0.1,100,0.1,100,0.1,100,0,996.911,1.54892e-14,0,-39.8792,NA,NA,730.171,332.441,NA,NA,NA,NA,NA,-25.8232,1.92879e-11,0,0.0012151,0,0,2,2,"A100-D0-E20-F1-L100-cayx",1,"A100","D0","E20","F1","L100","cayx",8.08651e-05,"#V3.24f",2.53333333333333,TRUE,955,"A100-D0-E20-F1-L100-cayx-1"
"6",1418010000,164172000,4084180000,0.892198678804558,0.113955,0.127929,1,1,100,100,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,0,4467.15,5.34695e-07,0,-32.1888,NA,NA,557.774,3869.62,NA,NA,NA,NA,NA,71.6954,0,0,0,0,0,1430420000,164177000,4109610000,0.274400733889591,0.113021,0.12716,7.39015,34.121,77.8427,79.416,0.911,0,NA,NA,0.2,19.1261,131.496,0.205462,0.0984983,0.0966784,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7015,0.65,0.4,0,0,-0.314411,-0.0149406,0.00469751,-0.00147698,0.000464339,-0.000145939,4.58524e-05,-1.44381e-05,4.64874e-06,-1.41598e-06,3.11608e-07,-2.05025e-07,2.04939e-07,-3.4767e-08,2.67768e-07,2.92415e-07,-3.59508e-07,1.67634e-07,-3.66031e-07,-1.06802e-07,1.0865e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747247,0,44.4874,-3,4.37822,15,-999,999,37.4742,-4,4.22939,14,-99,99,0.1,100,0.1,100,0.1,100,0,1002.09,4.56073e-14,0,-35.2493,NA,NA,724.654,327.219,NA,NA,NA,NA,NA,-14.5403,1.76086e-12,0,0.00123201,0,0,2,2,"A100-D0-E20-F1-L100-cayx",2,"A100","D0","E20","F1","L100","cayx",5.24446e-05,"#V3.24f",2.56666666666667,TRUE,969,"A100-D0-E20-F1-L100-cayx-2"
"7",1418010000,164172000,4084180000,0.989057779040101,0.113955,0.127929,1,1,100,100,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,0,4438.46,5.62863e-07,0,-32.1888,NA,NA,560.797,3868.95,NA,NA,NA,NA,NA,40.6476,0,0,0,0,0,1486300000,172806000,4274520000,0.324368584074937,0.114545,0.128767,7.39015,34.121,77.8427,79.416,0.911,0,NA,NA,0.2,18.389,130.508,0.212583,0.10764,0.0988283,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7351,0.65,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00153813,0,47.2457,-3,4.81908,15,-999,999,36.0585,-4,3.91903,14,-99,99,0.1,100,0.1,100,0.1,100,0,996.919,1.59217e-14,0,-39.846,NA,NA,730.125,332.2,NA,NA,NA,NA,NA,-25.5608,0,0,0.00121429,0,0,2,2,"A100-D0-E20-F1-L100-cayz",1,"A100","D0","E20","F1","L100","cayz",7.61412e-05,"#V3.24f",2.28333333333333,TRUE,825,"A100-D0-E20-F1-L100-cayz-1"
"8",1418010000,164172000,4084180000,0.892198678804558,0.113955,0.127929,1,1,100,100,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,0,4467.15,5.34695e-07,0,-32.1888,NA,NA,557.774,3869.62,NA,NA,NA,NA,NA,71.6954,0,0,0,0,0,1443590000,165869000,4147950000,0.271018213816464,0.11314,0.127281,7.39015,34.121,77.8427,79.416,0.911,0,NA,NA,0.2,19.1353,131.261,0.205991,0.0982563,0.0973303,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7132,0.65,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0739562,0,44.4869,-3,4.3792,15,-999,999,37.4783,-4,4.23708,14,-99,99,0.1,100,0.1,100,0.1,100,0,1001.55,4.09714e-14,0,-35.494,NA,NA,724.334,327.446,NA,NA,NA,NA,NA,-14.7354,0,0,0.00123034,0,0,2,2,"A100-D0-E20-F1-L100-cayz",2,"A100","D0","E20","F1","L100","cayz",3.09902e-05,"#V3.24f",2.31666666666667,TRUE,851,"A100-D0-E20-F1-L100-cayz-2"
"9",1418010000,164172000,4084180000,1.02457776101935,0.113955,0.127929,1,1,100,100,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,0,4432.43,5.38993e-07,0,-32.1888,NA,NA,561.04,3862.98,NA,NA,NA,NA,NA,40.3498,0,0,0,0,0,1508780000,172548000,4338630000,0.324955112558573,0.112663,0.126664,6.8872,33.3161,77.8459,79.3536,0.9096,0,NA,NA,0.2,20.1435,135.297,0.195285,0.102353,0.0837051,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7164,0.65,0.4,0,0,0.00356111,-2.09359e-05,-8.03633e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0242673,0,50.7023,-3,5.07596,15,-999,999,43.785,-4,5.73216,14,-99,99,0.1,100,0.1,100,0.1,100,0,943.721,1.21085e-14,0,-40.1763,NA,NA,694.542,316.418,NA,NA,NA,NA,NA,-27.0633,3.42956e-10,0,0.000827548,0,0,2,2,"A100-D0-E20-F1-L100-cby",1,"A100","D0","E20","F1","L100","cby",0.068702,"#V3.24f",2.63333333333333,TRUE,836,"A100-D0-E20-F1-L100-cby-1"
