"SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","A","B","D","E","F","L","species","year"
4084180000,155131000,0,4029560000,136856000,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",1
4084200000,174064000,0,4029560000,137256000,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",2
4091160000,105101000,0,4030980000,153457000,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",3
4121110000,28647400,0,4035980000,125061000,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",4
4159120000,141111000,0,4049140000,123836000,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",5
4145520000,53683200,0,4068210000,121929000,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",6
4080190000,73189400,0,4077540000,116834000,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",7
3998250000,110772000,0,4075910000,116325000,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",8
3871510000,140683000,0,4061420000,208306000,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",9
3735570000,169028000,0,4034040000,180970000,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",10
3626460000,83293400,0,4025100000,143380000,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",11
3571810000,52935500,0,4070520000,132831000,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",12
3556850000,95885100,0,4139760000,113436000,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",13
3523560000,94655500,0,4205350000,124064000,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",14
3466330000,39072400,0,4249410000,105744000,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",15
3404560000,71623000,0,4262990000,113032000,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",16
3323490000,76418200,0,4248320000,99632600,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",17
3212890000,102150000,0,4204820000,122287000,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",18
3098050000,113287000,0,4140200000,173565000,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",19
2994830000,94402900,0,4062820000,109844000,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",20
2923790000,170622000,0,4006240000,153077000,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",21
2884300000,163676000,0,3977750000,171830000,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",22
2886440000,158977000,0,3958820000,174873000,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",23
2957230000,200778000,0,3973720000,233380000,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",24
3078250000,156616000,0,4024880000,140185000,0,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",25
3245730000,73143400,0.121067,4123860000,111446000,0.0953295,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",26
3063400000,138110000,0.121067,3876610000,176374000,0.0959448,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",27
2871180000,167796000,0.121067,3623920000,123186000,0.0956264,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",28
2660780000,120681000,0.121067,3383700000,117560000,0.0946325,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",29
2483900000,104906000,0.121067,3174750000,108343000,0.0949748,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",30
2339540000,79610600,0.121067,2969610000,115540000,0.0957667,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",31
2202310000,180111000,0.121067,2770650000,210732000,0.0966029,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",32
2062340000,128941000,0.121067,2582450000,123124000,0.0964581,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",33
1944990000,68319300,0.121067,2444690000,69599900,0.0959713,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",34
1878340000,69973900,0.121067,2366700000,62951400,0.0960713,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",35
1810670000,115227000,0.121067,2280190000,104290000,0.0960977,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",36
1718960000,61085100,0.121067,2163430000,66313300,0.0963229,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",37
1626760000,100089000,0.121067,2034820000,113377000,0.0973118,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",38
1542270000,92332800,0.121067,1908210000,88428300,0.098235,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",39
1456990000,76560400,0.121067,1788680000,93355800,0.0988357,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",40
1391580000,49159700,0.121067,1695440000,66051500,0.099759,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",41
1335500000,62713500,0.121067,1616240000,72286100,0.0999838,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",42
1273950000,113333000,0.121067,1545600000,125991000,0.0992666,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",43
1202990000,102946000,0.121067,1474340000,95858200,0.0981117,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",44
1149660000,98060900,0.121067,1424380000,94341000,0.0971958,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",45
1131200000,61180400,0.121067,1406270000,75859100,0.097544,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",46
1133030000,164371000,0.121067,1397390000,153914000,0.098662,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",47
1135400000,91948000,0.121067,1387500000,84032800,0.0992053,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",48
1150460000,108493000,0.121067,1391100000,99793500,0.101019,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",49
1195860000,76670500,0.121067,1414430000,94711400,0.103446,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",50
1232630000,180670000,0.121067,1423360000,195589000,0.10602,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",51
1258540000,100093000,0.121067,1424990000,101156000,0.107305,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",52
1290520000,58027400,0.121067,1448650000,55245500,0.107926,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",53
1346660000,50795600,0.121067,1502990000,64269000,0.108595,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",54
1369240000,106889000,0.121067,1521820000,102560000,0.109022,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",55
1346080000,85708800,0.121067,1495900000,82929800,0.108588,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",56
1304030000,71085400,0.121067,1453340000,91690000,0.108578,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",57
1270580000,49134500,0.121067,1412280000,54125300,0.109037,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",58
1234290000,161807000,0.121067,1370950000,165261000,0.108538,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",59
1187060000,58756900,0.121067,1327340000,63654600,0.107762,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",60
1158630000,187383000,0.121067,1302230000,159442000,0.107477,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",61
1164080000,92067900,0.121067,1309150000,94401100,0.107538,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",62
1186580000,45523200,0.121067,1323130000,44411000,0.109675,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",63
1247540000,129058000,0.121067,1360040000,113443000,0.111977,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",64
1274190000,99166900,0.121067,1365090000,94440000,0.113807,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",65
1277930000,130940000,0.121067,1344910000,115809000,0.116161,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",66
1290880000,149084000,0.121067,1329130000,162423000,0.118672,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",67
1306910000,69611200,0.121067,1315580000,75305400,0.121531,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",68
1345500000,88126200,0.121067,1328030000,97508700,0.123023,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",69
1382270000,58385000,0.121067,1352810000,53176600,0.123798,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",70
1385740000,98072200,0.121067,1354090000,92916600,0.123546,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",71
1363470000,86042500,0.121067,1334540000,77417900,0.123608,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",72
1322520000,121859000,0.121067,1292690000,118137000,0.123914,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",73
1286310000,121157000,0.121067,1250450000,117828000,0.124939,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",74
1262890000,110927000,0.121067,1216470000,112696000,0.126054,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",75
1.267e+09,192698000,0.121067,1208800000,200876000,0.127232,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",76
1287150000,75872900,0.121067,1218330000,75659200,0.127944,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",77
1336610000,55675700,0.121067,1263220000,64747800,0.127515,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",78
1403530000,52868000,0.121067,1329710000,56695300,0.127542,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",79
1419980000,121428000,0.121067,1348810000,124819000,0.126996,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",80
1388270000,47482200,0.121067,1325530000,55199900,0.126293,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",81
1341970000,152680000,0.121067,1289530000,149334000,0.125297,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",82
1298410000,109899000,0.121067,1257360000,114998000,0.124305,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",83
1261470000,67848100,0.121067,1231440000,63471800,0.123403,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",84
1266810000,48533200,0.121067,1243280000,46670900,0.12283,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",85
1270440000,78278700,0.121067,1250760000,85392600,0.122883,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",86
1247860000,76797600,0.121067,1226870000,74181300,0.12319,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",87
1.206e+09,61047200,0.121067,1184420000,63367500,0.123008,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",88
1164780000,99738800,0.121067,1144510000,104018000,0.123122,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",89
1122290000,165382000,0.121067,1101880000,164662000,0.123134,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",90
1087570000,87147600,0.121067,1069120000,82377100,0.122719,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",91
1097410000,68700400,0.121067,1081500000,73878400,0.122462,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",92
1143910000,86130800,0.121067,1126210000,89811600,0.123023,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",93
1173260000,54184700,0.121067,1152050000,57389500,0.123162,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",94
1183480000,88237000,0.121067,1162270000,84288800,0.12301,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",95
1174970000,88356000,0.121067,1155800000,95352800,0.1228,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",96
1149810000,96750700,0.121067,1132410000,97325800,0.122787,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",97
1130720000,105542000,0.121067,1114320000,107242000,0.122439,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",98
1121020000,173252000,0.121067,1107890000,198137000,0.122159,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",99
1126140000,111748000,0.121067,1115160000,101306000,0.121817,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",100
